id,title,tag,matched_words,score
148,"DUTCH STATE LAUNCHES NEW EIGHT YEAR BULLET AT 614 PCT  OFFICIAL",neutral,,0
149,"YEN MAY RISE TO 140 TO THE DOLLAR, NIKKEIREN SAYS",neutral,,0
150,"SINGAPORE SECURITIES MARKET CONSIDERING CHANGES",neutral,,0
151,"NEW DUTCH BULLET STATE LOAN AT 614 PCT DUE 1995",neutral,,0
152,"BRUSSELS  Ferruzzi says it will pay 630 mln dlrs to CPC International for European mills.",neutral,,0
153,"VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987",neutral,,0
154,"EC MINISTERS FAIL TO END DEADLOCK ON RESEARCH PLAN",negative,"fail, deadlock",-2
155,"MADAGASCAR EXTENDS AMOCO OIL EXPLORATION AGREEMENT",neutral,,0
156,"FERRUZZI DEAL WITH CPC WORTH 630 MLN DLRS",positive,worth,1
157,"AIRLINES CAN INCREASE HONG KONGMANILA FLIGHTS",neutral,,0
158,"SWIRE PACIFIC LTD SWPC.HKG YEAR 1986",neutral,,0
159,"BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion",neutral,,0
160,"BAT INDUSTRIES PLC BTI.L 1986 YEAR",neutral,,0
161,"SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS",neutral,"bonus; issue",0
162,"Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources",neutral,,0
163,"SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR",neutral,,0
164,"NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION",neutral,,0
165,"DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT",negative,fall,-1
166,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES",neutral,,0
167,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS",neutral,,0
168,"ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT",neutral,,0
169,"ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND",negative,issues,-1
170,"MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES",neutral,,0
171,"BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT",neutral,,0
172,"GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS",neutral,,0
173,"CITIBANK LAUNCHES CURRENCY WARRANTS",neutral,,0
174,"MALAYSIAS FOREIGN BORROWING HELD AT 1986 LEVEL",neutral,,0
175,"BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS",neutral,,0
176,"SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER",neutral,,0
177,"BICC PLC BICC.L 1986 YEAR",neutral,,0
178,"TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR",neutral,,0
179,"PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150",negative,killed,-1
180,"CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS",positive,reforms,1
181,"NIPPON STEEL TO REDUCE DIVIDEND",neutral,,0
182,"BAT SEES STRONG PERFORMANCE FROM ALL SECTORS",positive,strong,1
183,"CHINAS PREMIER ZHAO SAYS POLITICAL CRISIS OVER",neutral,"premier; crisis",0
184,"TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY",negative,sharply,-1
185,"BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT",positive,wins,1
186,"JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT",neutral,,0
187,"BABCOCK INTERNATIONAL PLC BABK.L YEAR 1986",neutral,,0
188,"VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS",neutral,,0
189,"DELTA GROUP DLTL.L YEAR TO JAN 3.",neutral,,0
190,"PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING",positive,gold,1
191,"BELGIAN PUBLIC DEBT RISES IN FEBRUARY",negative,debt,-1
192,"BABCOCK EXPECTS FURTHER PROGRESS IN 1987",positive,progress,1
193,"EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL",neutral,,0
194,"CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS",neutral,,0
195,"WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN",neutral,,0
196,"SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER",neutral,,0
197,"CARGILL U.K. STRIKE TALKS TO RESUME THIS AFTERNOON",negative,strike,-1
198,"NORWAY ISSUES 60 BILLION YEN EUROBOND",negative,issues,-1
199,"BROCKWAY AIR TO BUY FIVE SAAB PLANES",neutral,,0
200,"SAABSCANIA LAUNCHES 100 MLN DLR EUROCP PROGRAM",neutral,,0
201,"BRITISH COMPOUND FEED PRODUCTION DETAILED",neutral,,0
202,"KLOECKNER UND COS 1986 PROFIT FALLS ABOUT 20 PCT",negative,falls,-1
203,"MIXED ASIAN REACTION TO NEW RUBBER PACT",neutral,,0
204,"CIBAGEIGY, PHILLIPS PETROLEUM IN JOINT VENTURE",neutral,,0
205,"KRUPP TO BUILD SOUTH KOREAN STEEL PLANT",neutral,,0
206,"SWIRE EXPECTS CONTINUED GROWTH THIS YEAR",neutral,,0
207,"UNCERTAINTY SURROUNDS EC SUGAR TENDER RESULTTRADE",positive,tender,1
208,"ABU DHABI TO REOPEN GULF OILFIELD HIT IN 1986 RAID",neutral,,0
209,"CHAD SAYS TROOPS KILLED 1,200 LIBYANS IN BATTLE",negative,killed,-1
210,"RAINBOW LIFTS PROGRESSIVE STAKE TO 52 PCT",positive,progressive,1
211,"BANK OF THAILAND PLANS ITS FIRST BOND ISSUE",negative,issue,-1
212,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS",neutral,,0
213,"YEN MAY RISE TO 140 TO THE DLR, NIKKEIREN SAYS",neutral,,0
214,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY",positive,modest,1
215,"BRAZILBANK COMMITTEE AGREE ON CREDIT REQUEST",neutral,,0
216,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATESUMITA",neutral,,0
217,"U.K. MONEY MARKET FORECAST REVISED TO SHOW SURPLUS",neutral,,0
218,"BANK OF ENGLAND DOES NOT OPERATE IN MONEY MARKET",neutral,,0
219,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS",neutral,,0
220,"EXCHANGE RATES ALMOST WITHIN G6 LEVELS  SUMITA",neutral,,0
221,"AFGHAN BOMBING TOLL ALMOST 150",negative,toll,-1
222,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES",neutral,,0
223,"SWIRE UNCOMMITTED ON PROPOSED NEW H.K. AIRPORT",neutral,,0
224,"CENTRAL BANKS BUY DOLLARS FOR YEN IN LONDON",neutral,,0
225,"BRAZIL, BANKS FAIL TO MAKE BREAKTHROUGH IN DEBT TALKS",negative,"breakthrough; fail, debt",-1
226,"CHINA MUST REFORM IRRATIONAL PRICE SYSTEM, ZHAO",neutral,"reform; irrational",0
227,"SEVERE DROUGHT AFFECTS EAST, NORTHEAST THAILAND",negative,"drought, severe",-2
228,"OCEAN TRANSPORT AND TRADING PLC OTTL.L YEAR 1986",neutral,,0
229,"DART GROUP RAISES SUPERMARKETS GENERAL SGL BID",neutral,,0
230,"OLSON INDUSTRIES INC OLSN 4TH QTR NET",neutral,,0
231,"OLSON OLSN TO HAVE LOSS FROM EGG UNIT SALE",negative,loss,-1
232,"JEFFERIES JEFG SETS SUPERMARKETS SGL MARKET",neutral,,0
233,"E.D. And F. MAN TO BUY INTO HONG KONG FIRM",neutral,,0
234,"ORACLE CORP ORCL 3RD QTR FEB 28 NET",neutral,,0
235,"DISNEY DIS OPENING EXPERIMENTAL RETAIL OUTLET",neutral,,0
236,"ENTERRA CORP EN 4TH QTR LOSS",negative,loss,-1
237,"JOHNSTOWNCONSOLIDATED REALTY TRUST JCT NET",positive,trust,1
238,"DURIRON DURI COMPLETES VALTEK VALT PURCHASE",neutral,,0
239,"WASHINGTON FEDERAL SAVINGS WFSL QUARTERLY DIV",positive,savings,1
240,"SINGER SMF GETS TEXAS AIR TEX CONTRACT",neutral,,0
241,"ROWLEYSCHER RSCH TO HAVE LOSS FOR YEAR",negative,loss,-1
242,"DIXONS SAID IT GOT AND ACCEPTED ONLY 20 PCT OF CYCLOPS SHARES IN TENDER",positive,tender,1
243,"LONDON ON RISE AS TRADING CENTRE IN U.S. DEBT",negative,debt,-1
244,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE",negative,issue,-1
245,"DIXONS GETS ONLY 20 PCT OF CYCLOPS CYL IN BID",neutral,,0
246,"OPPOSITION SAYS UK GOVT GAVE ARMS TO CONTRAS",negative,opposition,-1
247,"BRAZIL ANNOUNCES NEW PLANNING MINISTER",neutral,,0
248,"CITIBANK LAUNCHES CURRENCY WARRANTS",neutral,,0
249,"KAUFMAN AND BROAD HOME CORP KBH 1ST QTR FEB 28",neutral,,0
250,"METRO CABLE METO TO SELL PARTNERSHIP",neutral,,0
251,"RENOUF HAS 93.4 PCT OF BENEQUITY BH UNITS",neutral,,0
252,"OIL ANALYST SEES PAPUA NEW GUINEA AS GOOD PROSPECT",positive,good,1
253,"CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COST",neutral,,0
254,"USAIR GROUP INC U SETS QUARTERLY",neutral,,0
255,"CHINA MUST CUT DEMAND, CONTINUE REFORMS ZHAO",positive,reforms,1
256,"YUGOSLAVIA SEEKS 600 MLN ECU LOAN FROM EC",neutral,,0
257,"MCFARLAND MCFE TO BUY PETROMINERALS PTRO",neutral,,0
258,"TIMMINCO ACQUIRES UNIVERSAL ADHESIVES",neutral,,0
259,"PALOMA PETROLEUM LTD YEAR NET",neutral,,0
260,"U.K. MONEY MARKET SURPLUS REVISED TO 250 MLN STG",neutral,,0
261,"TECHNIMED CORP GETS FDA APPROVAL FOR DRUG",positive,approval,1
262,"AMERICAN RESOURCE CORP LTD YEAR NET",neutral,,0
263,"WASTE MANAGEMENT ENDS TENDER OFFER FOR CHEMLAWN",neutral,"tender; waste",0
264,"WEST GERMAN JAN COFFEE IMPORTS DOWN ON YEARAGO",neutral,,0
265,"ONE VALLEY BANCORP OVWV RAISES QUARTERLY",neutral,,0
266,"NATIONAL DATA CORP NDTA 3RD QTR FEB 28 NET",neutral,,0
267,"NVHOMES NVH SETS TWOFORONE SPLIT",negative,split,-1
268,"AMERICAN RESOURCE SETS RIGHTS OFFERING",neutral,,0
269,"VANGUARD TECHNOLOGIES INTERNATIONAL INC VTI",neutral,,0
270,"THOMSON MCKINNON U.S. GOVERNMENT FUND DIVIDEND",neutral,,0
271,"THOMSON MCKINNON INCOME FUND DIVIDEND",neutral,,0
272,"OAKRIDGE HOLDINGS INC 2ND QTR DEC 31 NET",neutral,,0
273,"GENERAL COMPUTER CORP GCCC 3RD QTR FEB 28 NET",neutral,,0
274,"UK EQUITIES SEEN DUE FOR DOWNWARD CORRECTION",neutral,,0
275,"ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND",negative,issues,-1
276,"BRIERLEY OFFER FOR PROGRESSIVE STILL VALID",positive,progressive,1
277,"AVATAR HOLDINGS INC AVTR YEAR NET",neutral,,0
278,"NORWAY OFFERS 11TH LICENCE ROUND OFFSHORE BLOCKS",neutral,,0
279,"PERCEPTION TECHNOLOGY PCEP TO TAKE CHARGE",neutral,,0
280,"INSPECTORATE ISSUES 200 MLN MARK EQUITY EUROBOND",negative,issues,-1
281,"Bundesbank buys dollars for yen  Frankfurt dealers",neutral,,0
282,"REUTERS TO BUY I P SHARP OF CANADA",positive,sharp,1
283,"HORIZON BANK HRZB SETS STOCK SPLIT",negative,split,-1
284,"WASTE WMX ENDS OFFER FOR CHEMLAWN CHEM",negative,waste,-1
285,"COREMARK INTERNATIONAL NAMES ACTING CHAIRMAN",neutral,,0
286,"ACKERLY COMMUNICATIONS INC YEAR LOSS",negative,loss,-1
287,"UNITED MEDICAL UM TO SELL UNIT",neutral,,0
288,"REXNORD REX TO CUT STAFF TO 50 FROM 112",neutral,,0
289,"CCC ACCEPTS BONUS BID ON CATTLE FOR EGYPT  USDA",positive,bonus,1
290,"INTEL INTC UNIT SELLS NOTES AT 8.18 PCT",neutral,,0
291,"SPAINS SOCIALIST TRADE UNION PUSHES FOR WAGE HIKE",neutral,,0
292,"THATCHER DEFENDS UK OIL POLICY IN SAUDI INTERVIEW",neutral,,0
293,"MARCH PRICES FELL IN GERMAN STATE ON YEARAGO",negative,fell,-1
294,"BUNDESBANK BUYS DOLLARS IN FRANKFURT  DEALERS",neutral,,0
295,"CROSSLAND SAVINGS CRLDACQUIRES WESTERN SAVINGS",positive,savings,1
296,"GENERAL ELECTRIC GE SELLS RIGHTS TO TECHNIQUE",neutral,,0
297,"CPC CPC EXPECTS EUROPEAN SALE TO CUT DEBT",negative,debt,-1
298,"BANK OF ENGLAND DRAINS MONEY MARKET LIQUIDITY",negative,drains,-1
299,"H.K. OFFICIAL DEFENDS NONPROSECUTION OF BOND",neutral,,0
300,"VICORP RESTAURANTS INC VRES 1ST QTR FEB 15 NET",neutral,,0
301,"COMMERZBANK TO ACQUIRE AND FLOAT LINOTYPE",neutral,,0
302,"VICORP VRES ENDS SALELEASEBACK DEAL",neutral,,0
303,"EC EXPORT LICENCES FOR 59,000 TONNES WHITE  SUGAR AT REBATE 45.678 ECUS  FRENCH TRADERS",neutral,,0
304,"U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES",neutral,,0
305,"PIONEERSTANDARD ELECTRONICS INC PIOS PAYOUT",neutral,,0
306,"AMSTERDAM EXCHANGE ANNOUNCES MODERNISATION DRIVE",neutral,,0
307,"HOUSE WAYS AND MEANS CMTE FINISHES WORK ON BILL TO TOUGHEN TRADE LAWS",positive,work,1
308,"CHEROKEE GROUP CHKE FILES TO OFFER SHARES",neutral,,0
309,"SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT",negative,"debt, problems",-2
310,"FABRICENTERS FCA 4TH QTR ENDS JAN 31 NET",neutral,,0
311,"TSENG LABORATORIES INC TSNG 4TH QTR NET",neutral,,0
312,"PARK ELECTROCHEMICAL CORP PKE SETS PAYOUT",neutral,,0
313,"BRAZIL SEAMEN SAY STRIKE NEAR END",negative,strike,-1
314,"KEY U.S. HOUSE PANEL FINISHES MAJOR TRADE BILL",neutral,,0
315,"RUSS TOGS INC RTS 4TH QTR JAN 31 NET",neutral,,0
316,"JOHNSTOWN AMERICAN COS JAC 2ND QTR FEB 28 NET",neutral,,0
317,"EASCO OFFERS INITIAL SALE OF SECURITIES",neutral,,0
318,"KEIHIN ELECTRIC EXPRESS ISSUES 150 MLN DLR BOND",negative,issues,-1
319,"BRISTOL AND WEST BUILDING SOCIETY ISSUES CDS",negative,issues,-1
320,"WOOLWICH BUILDING SOCIETY ISSUING 50 MLN STG BOND",neutral,,0
321,"ITT ITT  UNIT FILES FOR PREFERRED STOCK SALE",neutral,,0
322,"CPC EXPECTS EUROPEAN SALE TO CUT DEBT",negative,debt,-1
323,"THERMO PROCESS TPSI ACQUISITION TERMINATED",neutral,,0
324,"CHRYSLER FINANCE ISSUING STERLING EUROBOND",neutral,,0
325,"NORANDA RAISES PRIMARY ALUMINUM PRICES",neutral,,0
326,"SOVIET PAPER DETAILS GEORGIAN FLOOD DAMAGE",negative,damage,-1
327,"UTILICORP UCU SEES HIGHER 1987 FIRST QUARTER",neutral,,0
328,"XYLOGICS INC INITIAL OFFERING UNDERWAY",neutral,,0
